id,poly,x,y
2302,1,0.302204,-0.18809
2302,1,0.302716,-0.187835
2302,1,0.302868,-0.1872
2302,1,0.303679,-0.187221
2302,1,0.304281,-0.187698
2302,1,0.30477,-0.188597
2302,1,0.305365,-0.18852
2302,1,0.305318,-0.187859
2302,1,0.305299,-0.18759
2302,1,0.305437,-0.187106
2302,1,0.305172,-0.186638
2302,1,0.305168,-0.186004
2302,1,0.30483,-0.185666
2302,1,0.305211,-0.185004
2302,1,0.305529,-0.184968
2302,1,0.305965,-0.185374
2302,1,0.306602,-0.185291
2302,1,0.307164,-0.185332
2302,1,0.306951,-0.18459
2302,1,0.306372,-0.184304
2302,1,0.305533,-0.183483
2302,1,0.305702,-0.182468
2302,1,0.306001,-0.181768
2302,1,0.306538,-0.181035
2302,1,0.306819,-0.180284
2302,1,0.306819,-0.180284
2302,1,0.307897,-0.179332
2302,1,0.308499,-0.178608
2302,1,0.307884,-0.17785
2302,1,0.308004,-0.177413
2302,1,0.308578,-0.176435
2302,1,0.309234,-0.175584
2302,1,0.309113,-0.17485
2302,1,0.308825,-0.174397
2302,1,0.308272,-0.174565
2302,1,0.308215,-0.173909
2302,1,0.307951,-0.173619
2302,1,0.307882,-0.172874
2302,1,0.308169,-0.172077
2302,1,0.308287,-0.171289
2302,1,0.307487,-0.170732
2302,1,0.307618,-0.169601
2302,1,0.307707,-0.16889
2302,1,0.307948,-0.168543
2302,1,0.307782,-0.168021
2302,1,0.308179,-0.167374
2302,1,0.308568,-0.166846
2302,1,0.30889,-0.166281
2302,1,0.30911,-0.165881
2302,1,0.30879,-0.163364
2302,1,0.308518,-0.161241
2302,1,0.309733,-0.157651
2302,1,0.311446,-0.152649
2302,1,0.312307,-0.150145
2302,1,0.313817,-0.14597
2302,1,0.314576,-0.145861
2302,1,0.315195,-0.145955
2302,1,0.316047,-0.145954
2302,1,0.316096,-0.14674
2302,1,0.316897,-0.148907
2302,1,0.317899,-0.1492
2302,1,0.318814,-0.149551
2302,1,0.319745,-0.148599
2302,1,0.321073,-0.147725
2302,1,0.321852,-0.147372
2302,1,0.321877,-0.14678
2302,1,0.32273,-0.146256
2302,1,0.323323,-0.146271
2302,1,0.324256,-0.14588
2302,1,0.323985,-0.145333
2302,1,0.324101,-0.144779
2302,1,0.325157,-0.144497
2302,1,0.325972,-0.144505
2302,1,0.326679,-0.144758
2302,1,0.327695,-0.145214
2302,1,0.328933,-0.14582
2302,1,0.329566,-0.146022
2302,1,0.330678,-0.147088
2302,1,0.332082,-0.147622
2302,1,0.333458,-0.152123
2302,1,0.334456,-0.155329
2302,1,0.33617,-0.160673
2302,1,0.337418,-0.16468
2302,1,0.337934,-0.16635
2302,1,0.338381,-0.166583
2302,1,0.338009,-0.167581
2302,1,0.338673,-0.168096
2302,1,0.338457,-0.169044
2302,1,0.338968,-0.169808
2302,1,0.33899,-0.170755
2302,1,0.33899,-0.170773
2302,1,0.340066,-0.170417
2302,1,0.340722,-0.171099
2302,1,0.341281,-0.171101
2302,1,0.342545,-0.171186
2302,1,0.343425,-0.170745
2302,1,0.343963,-0.171172
2302,1,0.344399,-0.17232
2302,1,0.343729,-0.172614
2302,1,0.343875,-0.173396
2302,1,0.344947,-0.174494
2302,1,0.344936,-0.175838
2302,1,0.344871,-0.176446
2302,1,0.345325,-0.1768
2302,1,0.346513,-0.178023
2302,1,0.347257,-0.178314
2302,1,0.347637,-0.17781
2302,1,0.347724,-0.17697
2302,1,0.348614,-0.177052
2302,1,0.34916,-0.177038
2302,1,0.349997,-0.177701
2302,1,0.350479,-0.178348
2302,1,0.350786,-0.178968
2302,1,0.351828,-0.180284
2302,1,0.352608,-0.18071
2302,1,0.352781,-0.181647
2302,1,0.353456,-0.182016
2302,1,0.352815,-0.183121
2302,1,0.352395,-0.183734
2302,1,0.352071,-0.184492
2302,1,0.351674,-0.185424
2302,1,0.351042,-0.186077
2302,1,0.35054,-0.186929
2302,1,0.349521,-0.18678
2302,1,0.349272,-0.187262
2302,1,0.348698,-0.187482
2302,1,0.348414,-0.188379
2302,1,0.348304,-0.18926
2302,1,0.348687,-0.189745
2302,1,0.348026,-0.190825
2302,1,0.347073,-0.190058
2302,1,0.346657,-0.189476
2302,1,0.346143,-0.19007
2302,1,0.345148,-0.190506
2302,1,0.344776,-0.191171
2302,1,0.344803,-0.191991
2302,1,0.344403,-0.192576
2302,1,0.343876,-0.192424
2302,1,0.343811,-0.19252
2302,1,0.343495,-0.192981
2302,1,0.343061,-0.193054
2302,1,0.342942,-0.194179
2302,1,0.342124,-0.193812
2302,1,0.341748,-0.193509
2302,1,0.341059,-0.19396
2302,1,0.341473,-0.194665
2302,1,0.341365,-0.195095
2302,1,0.341117,-0.195897
2302,1,0.341983,-0.196386
2302,1,0.340359,-0.196711
2302,1,0.34045,-0.197372
2302,1,0.340706,-0.198933
2302,1,0.339377,-0.199173
2302,1,0.338688,-0.199679
2302,1,0.338397,-0.199946
2302,1,0.337994,-0.199338
2302,1,0.336001,-0.200192
2302,1,0.334249,-0.198997
2302,1,0.333432,-0.199219
2302,1,0.333005,-0.199473
2302,1,0.332725,-0.199266
2302,1,0.331839,-0.199311
2302,1,0.330513,-0.199238
2302,1,0.32822,-0.197916
2302,1,0.327564,-0.199131
2302,1,0.326825,-0.198713
2302,1,0.326393,-0.199039
2302,1,0.325485,-0.199099
2302,1,0.32563,-0.196855
2302,1,0.324664,-0.196573
2302,1,0.324589,-0.195386
2302,1,0.323172,-0.195494
2302,1,0.322415,-0.195543
2302,1,0.322503,-0.196035
