id,poly,x,y
1,1,0.230859,-1.49641
1,1,0.230959,-1.496846
1,1,0.231295,-1.496782
1,1,0.231577,-1.497217
1,1,0.231533,-1.497453
1,1,0.231821,-1.49833
1,1,0.23181,-1.498916
1,1,0.232073,-1.499041
1,1,0.232387,-1.499502
1,1,0.232544,-1.500137
1,1,0.232879,-1.500906
1,1,0.232559,-1.501237
1,1,0.232266,-1.501977
1,1,0.232378,-1.502322
1,1,0.232287,-1.502905
1,1,0.232573,-1.503026
1,1,0.2324,-1.503603
1,1,0.232216,-1.503786
1,1,0.231882,-1.50348
1,1,0.23161,-1.503499
1,1,0.231559,-1.504103
1,1,0.231258,-1.504561
1,1,0.230856,-1.504459
1,1,0.230906,-1.503693
1,1,0.230366,-1.50327
1,1,0.230503,-1.503038
1,1,0.230108,-1.502818
1,1,0.230188,-1.502518
1,1,0.229843,-1.502107
1,1,0.229443,-1.501854
1,1,0.229606,-1.501605
1,1,0.229446,-1.501232
1,1,0.229181,-1.501128
1,1,0.229,-1.500768
1,1,0.228724,-1.500829
1,1,0.228544,-1.500479
1,1,0.228021,-1.500502
1,1,0.227887,-1.500027
1,1,0.227917,-1.499365
1,1,0.22773,-1.499293
1,1,0.227589,-1.498632
1,1,0.227926,-1.498372
1,1,0.227854,-1.497763
1,1,0.228034,-1.497518
1,1,0.22889,-1.497487
1,1,0.229236,-1.497047
1,1,0.230175,-1.496902
1,1,0.230164,-1.496666
1,1,0.230859,-1.49641
1,2,0.228127,-1.493231
1,2,0.228407,-1.493989
1,2,0.229011,-1.494319
1,2,0.228546,-1.495447
1,2,0.227769,-1.495945
1,2,0.227633,-1.496379
1,2,0.227282,-1.496702
1,2,0.226886,-1.496299
1,2,0.226935,-1.495933
1,2,0.226787,-1.495679
1,2,0.226937,-1.495403
1,2,0.226786,-1.494737
1,2,0.227309,-1.494366
1,2,0.228104,-1.494073
1,2,0.228027,-1.493339
1,2,0.228127,-1.493231
1,3,0.221295,-1.48403
1,3,0.22185,-1.484279
1,3,0.221777,-1.484838
1,3,0.222272,-1.484906
1,3,0.22288,-1.485392
1,3,0.223169,-1.486042
1,3,0.222982,-1.486458
1,3,0.22258,-1.486044
1,3,0.222122,-1.485953
1,3,0.221792,-1.486063
1,3,0.22146,-1.486435
1,3,0.220845,-1.486152
1,3,0.220869,-1.485746
1,3,0.220313,-1.485499
1,3,0.220151,-1.485194
1,3,0.220371,-1.484921
1,3,0.220317,-1.484653
1,3,0.220536,-1.48431
1,3,0.22087,-1.484355
1,3,0.221295,-1.48403
1,4,0.224272,-1.483706
1,4,0.224568,-1.483735
1,4,0.22496,-1.484259
1,4,0.224989,-1.485238
1,4,0.224898,-1.485327
1,4,0.223623,-1.484488
1,4,0.224207,-1.483933
