id,poly,x,y
3,3,0.065349,-0.445952
3,3,0.062857,-0.447547
3,3,0.062247,-0.445612
3,3,0.059904,-0.446186
3,3,0.057931,-0.448429
3,3,0.05655,-0.448443
3,3,0.055858,-0.446943
3,3,0.053929,-0.448955
3,3,0.051889,-0.448833
3,3,0.051709,-0.450762
3,3,0.054307,-0.452808
3,3,0.053748,-0.455847
3,3,0.053763,-0.45946
3,3,0.051724,-0.459812
3,3,0.052837,-0.461711
3,3,0.054856,-0.459623
3,3,0.055919,-0.459708
3,3,0.056311,-0.462413
3,3,0.059308,-0.463223
3,3,0.059423,-0.466495
3,3,0.061126,-0.468474
3,3,0.063156,-0.467806
3,3,0.063284,-0.470374
3,3,0.065253,-0.471882
3,3,0.066406,-0.47282
3,3,0.065504,-0.476072
3,3,0.066183,-0.479661
3,3,0.067037,-0.480916
3,3,0.066403,-0.482501
3,3,0.064604,-0.484151
3,3,0.064333,-0.485933
3,3,0.062321,-0.488532
3,3,0.06071,-0.48761
3,3,0.058239,-0.487486
3,3,0.056858,-0.485832
3,3,0.055498,-0.482483
3,3,0.054357,-0.48085
3,3,0.05179,-0.480127
3,3,0.052391,-0.478427
3,3,0.050929,-0.473811
3,3,0.047304,-0.473256
3,3,0.044254,-0.475435
3,3,0.04307,-0.473929
3,3,0.043211,-0.472461
3,3,0.039872,-0.472006
3,3,0.037076,-0.472336
3,3,0.036555,-0.47481
3,3,0.037617,-0.47577
3,3,0.036927,-0.477507
3,3,0.034419,-0.478873
3,3,0.032798,-0.476985
3,3,0.031126,-0.477119
3,3,0.028185,-0.479702
3,3,0.028928,-0.481429
3,3,0.026781,-0.483303
3,3,0.025322,-0.481936
3,3,0.023351,-0.48188
3,3,0.02136,-0.483457
3,3,0.019338,-0.478851
3,3,0.01528,-0.475786
3,3,0.012376,-0.476493
3,3,0.011099,-0.473561
3,3,0.010727,-0.470802
3,3,0.006918,-0.47045
3,3,0.006667,-0.468585
3,3,0.004985,-0.467909
3,3,0.004402,-0.466121
3,3,0.005865,-0.464053
3,3,0.00869,-0.462759
3,3,0.009358,-0.461044
3,3,0.011083,-0.460715
3,3,0.011282,-0.45775
3,3,0.009069,-0.456347
3,3,0.008512,-0.455069
3,3,0.010831,-0.452867
3,3,0.012009,-0.450905
3,3,0.014906,-0.451566
3,3,0.017325,-0.452637
3,3,0.018303,-0.454482
3,3,0.020682,-0.454064
3,3,0.021957,-0.452982
3,3,0.02373,-0.452768
3,3,0.026323,-0.457383
3,3,0.030946,-0.457305
3,3,0.033909,-0.453926
3,3,0.035847,-0.449678
3,3,0.037593,-0.447274
3,3,0.036594,-0.444903
3,3,0.037918,-0.443133
3,3,0.043347,-0.443594
3,3,0.044823,-0.442054
3,3,0.044428,-0.440465
3,3,0.046324,-0.436791
3,3,0.046129,-0.435559
3,3,0.047698,-0.434331
3,3,0.048362,-0.431213
3,3,0.049652,-0.431214
3,3,0.050778,-0.429459
3,3,0.052799,-0.428199
3,3,0.052639,-0.426801
3,3,0.048941,-0.423971
3,3,0.050054,-0.419496
3,3,0.05214,-0.418932
3,3,0.054569,-0.420611
3,3,0.055562,-0.420568
3,3,0.057775,-0.422442
3,3,0.059915,-0.42283
3,3,0.063722,-0.425562
3,3,0.063965,-0.426988
3,3,0.06831,-0.426522
4,4,0.213848,-0.533972
4,4,0.212799,-0.535887
4,4,0.214487,-0.536234
4,4,0.213758,-0.538125
4,4,0.214164,-0.54062
4,4,0.213183,-0.541141
4,4,0.210765,-0.544104
4,4,0.207604,-0.546067
4,4,0.208003,-0.547047
4,4,0.206904,-0.548858
