id,poly,x_cart,y_cart,x_init,y_init
2302,1,399.949335,360.282013,0.302204,-0.18809
2302,1,400.368174,360.533937,0.302716,-0.187835
2302,1,400.420457,360.649349,0.302868,-0.1872
2302,1,401.082172,360.960057,0.303679,-0.187221
2302,1,401.624655,361.234155,0.304281,-0.187698
2302,1,402.083558,361.43953,0.30477,-0.188597
2302,1,402.440326,361.816392,0.305365,-0.18852
2302,1,402.360345,361.818346,0.305318,-0.187859
2302,1,402.328657,361.820581,0.305299,-0.18759
2302,1,402.372352,361.931197,0.305437,-0.187106
2302,1,402.184112,361.800223,0.305172,-0.186638
2302,1,402.121866,361.836165,0.305168,-0.186004
2302,1,401.827951,361.654418,0.30483,-0.185666
2302,1,402.031044,361.926206,0.305211,-0.185004
2302,1,402.227708,362.102695,0.305529,-0.184968
2302,1,402.511011,362.308258,0.305965,-0.185374
2302,1,402.848647,362.634529,0.306602,-0.185291
2302,1,403.08053,362.865605,0.307164,-0.185332
2302,1,402.959006,362.832805,0.306951,-0.18459
2302,1,402.639821,362.561253,0.306372,-0.184304
2302,1,402.07826,362.208223,0.305533,-0.183483
2302,1,402.072025,362.348322,0.305702,-0.182468
2302,1,402.182568,362.492651,0.306001,-0.181768
2302,1,402.408568,362.749672,0.306538,-0.181035
2302,1,402.483373,362.892943,0.306819,-0.180284
2302,1,402.483373,362.892943,0.306819,-0.180284
2302,1,402.960249,363.456411,0.307897,-0.179332
2302,1,403.141859,363.757196,0.308499,-0.178608
2302,1,402.848236,363.621078,0.307884,-0.17785
2302,1,402.874327,363.717316,0.308004,-0.177413
2302,1,403.053333,363.988083,0.308578,-0.176435
2302,1,403.199345,364.278236,0.309234,-0.175584
2302,1,403.129775,364.346844,0.309113,-0.17485
2302,1,403.017761,364.349868,0.308825,-0.174397
2302,1,402.819814,364.20848,0.308272,-0.174565
2302,1,402.758924,364.298957,0.308215,-0.173909
2302,1,402.629622,364.284281,0.307951,-0.173619
2302,1,402.55627,364.379592,0.307882,-0.172874
2302,1,402.628602,364.560451,0.308169,-0.172077
2302,1,402.627308,364.692684,0.308287,-0.171289
2302,1,402.174746,364.532535,0.307487,-0.170732
2302,1,402.140587,364.670265,0.307618,-0.169601
2302,1,402.123836,364.756596,0.307707,-0.16889
2302,1,402.244147,364.85471,0.307948,-0.168543
2302,1,402.083445,364.855685,0.307782,-0.168021
2302,1,402.270954,365.011403,0.308179,-0.167374
2302,1,402.432191,365.135373,0.308568,-0.166846
2302,1,402.521863,365.247584,0.30889,-0.166281
2302,1,402.58364,365.329616,0.30911,-0.165881
2302,1,402.316534,365.639383,0.30879,-0.163364
2302,1,401.934878,365.850702,0.308518,-0.161241
2302,1,402.281255,366.349342,0.309733,-0.157651
2302,1,402.525597,367.029663,0.311446,-0.152649
2302,1,402.715288,367.370025,0.312307,-0.150145
2302,1,402.733577,368.342042,0.313817,-0.14597
2302,1,402.986165,368.212041,0.314576,-0.145861
2302,1,403.246867,368.109198,0.315195,-0.145955
2302,1,403.593559,368.020101,0.316047,-0.145954
2302,1,403.646887,367.750272,0.316096,-0.14674
2302,1,403.966076,367.179322,0.316897,-0.148907
2302,1,404.296928,367.015695,0.317899,-0.1492
2302,1,404.57631,366.861476,0.318814,-0.149551
2302,1,404.96036,366.991592,0.319745,-0.148599
2302,1,405.513713,367.095222,0.321073,-0.147725
2302,1,405.816852,367.123617,0.321852,-0.147372
2302,1,405.907463,367.265773,0.321877,-0.14678
2302,1,406.279434,367.341118,0.32273,-0.146256
2302,1,406.477898,367.300336,0.323323,-0.146271
2302,1,406.733626,367.318741,0.324256,-0.14588
2302,1,406.788928,367.494078,0.323985,-0.145333
2302,1,406.867527,367.667405,0.324101,-0.144779
2302,1,407.081653,367.62745,0.325157,-0.144497
2302,1,407.27592,367.539689,0.325972,-0.144505
2302,1,407.461227,367.439295,0.326679,-0.144758
2302,1,407.755432,367.331064,0.327695,-0.145214
2302,1,408.063448,367.179542,0.328933,-0.14582
2302,1,408.25183,367.119806,0.329566,-0.146022
2302,1,408.530042,366.882847,0.330678,-0.147088
2302,1,409.185459,366.823336,0.332082,-0.147622
2302,1,409.372753,366.115712,0.333458,-0.152123
2302,1,409.687711,365.668825,0.334456,-0.155329
2302,1,410.530944,364.90432,0.33617,-0.160673
2302,1,411.344918,364.288011,0.337418,-0.16468
2302,1,411.543337,364.096628,0.337934,-0.16635
2302,1,411.856147,363.963026,0.338381,-0.166583
2302,1,411.451187,364.033555,0.338009,-0.167581
2302,1,412.195906,363.699533,0.338673,-0.168096
2302,1,412.066935,363.678182,0.338457,-0.169044
2302,1,412.53789,363.436011,0.338968,-0.169808
2302,1,412.578164,363.354479,0.33899,-0.170755
2302,1,412.578959,363.35328,0.33899,-0.170773
2302,1,413.682747,362.915066,0.340066,-0.170417
2302,1,414.3187,362.59515,0.340722,-0.171099
2302,1,414.840359,362.390347,0.341281,-0.171101
2302,1,416.117855,361.791763,0.342545,-0.171186
2302,1,416.880543,361.558461,0.343425,-0.170745
2302,1,417.298495,361.369698,0.343963,-0.171172
2302,1,417.646257,361.089834,0.344399,-0.17232
2302,1,417.024418,361.344764,0.343729,-0.172614
2302,1,417.126107,361.249165,0.343875,-0.173396
2302,1,417.97901,360.786888,0.344947,-0.174494
2302,1,418.007837,360.675583,0.344936,-0.175838
2302,1,417.970732,360.664069,0.344871,-0.176446
2302,1,418.392007,360.428028,0.345325,-0.1768
2302,1,419.881843,359.493885,0.346513,-0.178023
2302,1,420.572643,359.156735,0.347257,-0.178314
2302,1,420.875911,359.03612,0.347637,-0.17781
2302,1,420.918156,359.079405,0.347724,-0.17697
2302,1,421.682085,358.662178,0.348614,-0.177052
2302,1,422.063972,358.507088,0.34916,-0.177038
2302,1,422.71961,358.153248,0.349997,-0.177701
2302,1,423.07913,357.948089,0.350479,-0.178348
2302,1,423.370146,357.696807,0.350786,-0.178968
